Update General Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c7700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000058D15E17628000
Update General Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000410D586A20A4C00000
Update Blockchain Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c7700000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000058D15E17628000
Update Blockchain Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000097C9CE4CF6D5C00000
Update Non-Technical Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c7700000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000058D15E17628000
Update Non-Technical Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be00000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000E91A7CD19FA3B00000
Update Token Listing Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c77000000000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000F8B0A10E470000
Update Token Listing Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be000000000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000021E19E0C9BAB2400000
Update  Technical Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c77000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000FFCB9E57D40000
Update  Technical Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be00000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000002C0BB3DD30C4E200000
Update Onboarding Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c77000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000354A6BA7A18000
Update Onboarding Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be00000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000410D586A20A4C00000
Update Onboarding Court Alpha,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x5bc24dd30000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000251C
Update  Curation Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c7700000000000000000000000000000000000000000000000000000000000000090000000000000000000000000000000000000000000000000058D15E17628000
Update  Curation Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be00000000000000000000000000000000000000000000000000000000000000090000000000000000000000000000000000000000000000F95DD2EC27CCE00000
Update Data Analysis Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c77000000000000000000000000000000000000000000000000000000000000000A0000000000000000000000000000000000000000000000000058D15E17628000
Update Data Analysis Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be000000000000000000000000000000000000000000000000000000000000000A0000000000000000000000000000000000000000000000CDFF97FABCB4600000
Update Statistical Modeling Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c77000000000000000000000000000000000000000000000000000000000000000B000000000000000000000000000000000000000000000000006E2255F4098000
Update Statistical Modeling Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be000000000000000000000000000000000000000000000000000000000000000B0000000000000000000000000000000000000000000000FEC99A4A552FF00000
Update Curation (Medium) Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c77000000000000000000000000000000000000000000000000000000000000000C0000000000000000000000000000000000000000000000000058D15E17628000
Update Curation (Medium) Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be000000000000000000000000000000000000000000000000000000000000000C0000000000000000000000000000000000000000000000F95DD2EC27CCE00000
Update Curation (Medium) Court Alpha,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x5bc24dd3000000000000000000000000000000000000000000000000000000000000000C0000000000000000000000000000000000000000000000000000000000001004
Update Corte General en Español Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c7700000000000000000000000000000000000000000000000000000000000000160000000000000000000000000000000000000000000000000058D15E17628000
Update Corte General en Español Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be0000000000000000000000000000000000000000000000000000000000000016000000000000000000000000000000000000000000000066FFCBFD5E5A300000
Update Humanity Court Juror Fee,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x59354c7700000000000000000000000000000000000000000000000000000000000000170000000000000000000000000000000000000000000000000058D15E17628000
Update Humanity Court Minstake,0x988b3a538b618c7a603e1c11ab82cd16dbe28069,0,0x3e1d09be00000000000000000000000000000000000000000000000000000000000000170000000000000000000000000000000000000000000001D7A0C1016CAA700000
Update Kleros Governor submissionBaseDeposit,0xe5bcEa6F87aAEe4a81f64dfDB4d30d400e0e5cf4,0,0x24baacc700000000000000000000000000000000000000000000000038E62046FB1A0000
Update T2CR requestorBaseDeposit ,0xEbcf3bcA271B26ae4B162Ba560e243055Af0E679,0,0x34f06fb90000000000000000000000000000000000000000000000000186CC6ACD4B0000
Update ERC20 badge requestorBaseDeposit ,0xCb4Aae35333193232421E86Cd2E9b6C91f3B125F,0,0x34f06fb900000000000000000000000000000000000000000000000026db992a3b180000
